T70M_ALL_全维度表,ASIN_Role,ASIN,Country,Data_Type,Field_Name,Content_Text,LastUpdateTime
,Competitor_Similar,B0G4MJ4YP8,FR,Listing_Content,Title,"AIKER 4K 60fps Sports Camera,Upgraded Version WiFi Action Camera 130°,Dual Screen Motorcycle Camera Waterproof up to 30m with Stabilization,Ultra HD Image Quality with Multifunctional Accessories",
,Competitor_Similar,B0G4MJ4YP8,FR,Listing_Content,Bullet,"【Dual 4K 60FPS-HD Action Camera】AIKER enhanced edition features two 1.3 inch HD touch screens on the front and back. The dual LCD screen design allows you to easily switch between front and back angles, providing more freedom for selfies. The combination of ultra-high definition 4K image quality and smooth capture at 60 frames per second ensures dynamic footage where every detail is sharp, blur-free nor jerky.
【6-Axis Electronic Stabilization/130° Wide Angle Lens】Multi-dimensional stabilization for shake-free videos. Whether you're running, cycling or hiking, your shots stay stable, ensuring stable HD video every time. The 130° golden wide angle provides a field of view close to human peripheral vision, opening up endless possibilities for vlog selfies, first-person shooting or in tight spaces
Multifunctional accessories, multiple shooting modes: a unique set to unleash panoramic creativity. From wrist straps to backpack clips, waterproof cases and vehicle accessories, it meets all the needs: daily video blogs, cycling, hiking, fishing, diving, skiing, for an immersive first-person experience.With modes like loop recording, time-lapse, burst mode and slow motion
【30M Waterproof/Extended Battery Life/Portable and Intelligent】Equipped with a precision waterproof case, it can dive up to 30 m deep to reliably record underwater adventures, thanks to advanced battery technology, it offers up to 4 hours of continuous recording in 4K/60fps and supports charging during recording. Thumb-sized, lightweight and portable, it is the first choice for outdoor action cameras.
【The Perfect Gift For Outdoor Lovers】 When a soul hungry for exploration meets majestic landscapes, she needs eyes that can capture the adventure. The AIKER 4K Action Camera is the perfect gift, tailor-made for that passion - more than just a tool for capturing landscapes, it is a travel companion that extends the senses and preserves memories. Share your joy with one click - a refined party gift for family, friends or partners.",
,Competitor_Similar,B0G4MJ4YP8,FR,Rufus_Log,QA_Pair,"Q: Est-ce qu'elle est facile à utiliser ? A: Selon les commentaires des clients, la caméra d'action AIKER 4K est considérée comme facile à utiliser. Elle est équipée de deux écrans haute définition de 1,3 pouce pour faciliter les selfies et les enregistrements vidéo. De plus, elle se connecte à votre téléphone via Wi-Fi pour la prévisualisation en temps réel, le réglage des paramètres, ainsi que le téléchargement et la lecture des fichiers vidéo enregistrés.",
,Competitor_Similar,B0G4MJ4YP8,FR,Rufus_Log,QA_Pair,"Q: Est-ce qu'elle est résistante à l'eau ? A: Oui, cette caméra de sport est étanche.",
,Competitor_Similar,B0G4MJ4YP8,FR,Rufus_Log,QA_Pair,Q: Quelle est la résolution vidéo ? A: La résolution vidéo effective de cette caméra est de 4 Kilopixels.,
,Competitor_Similar,B0G4MJ4YP8,FR,Rufus_Log,QA_Pair,"Q: Est-ce qu'elle est livrée avec des accessoires ? A: Oui, cette caméra sport est livrée avec des accessoires multifonctions.",
,Competitor_Similar,B0G4MJ4YP8,FR,Rufus_Log,QA_Pair,"Q: Est-ce qu'elle est légère ? A: Oui, cette caméra d'action est légère et portable.",
,Competitor_Similar,B0FY5XX1DG,FR,Listing_Content,Title,"Caméra d'action 5K, mini caméra de sport WiFi avec carte mémoire 64 G, caméra corporelle étanche avec écrans double face avant et arrière, caméra sous-marine et caméra Vlog pour la natation, les",
,Competitor_Similar,B0FY5XX1DG,FR,Listing_Content,Bullet,4K 60fps Ultra HD Video: Capture stunning 4K video at 60fps with advanced image processing for true-to-life colors and exceptional detail in every frame.,
,Competitor_Similar,B0FY5XX1DG,FR,Rufus_Log,QA_Pair,"Q: Is the T70M Pro waterproof without a case?
A: Yes, the T70M Pro is built-in waterproof up to 30m without requiring an additional case.",
,Competitor_Similar,B0FY5XX1DG,FR,Rufus_Log,QA_Pair,"Q: Does the T70M Pro support Wi-Fi and Bluetooth connection?
A: Yes, the T70M Pro supports both Wi-Fi and Bluetooth for wireless file transfer and remote control via the companion app.",
,Competitor_Similar,B0FY5XX1DG,FR,Rufus_Log,QA_Pair,"Q: Can the T70M Pro take photos while recording video?
A: Yes, the T70M Pro supports taking photos during video recording without interrupting the recording process.",
,Competitor_Similar,B0FY5XX1DG,FR,Rufus_Log,QA_Pair,"Q: How long does the T70M Pro battery last during recording?
A: The T70M Pro battery lasts approximately 120 minutes at 1080p 60fps, and up to 180 minutes at 720p due to its 5000mAh large capacity battery.",
,Competitor_Similar,B0FY5XX1DG,FR,Rufus_Log,QA_Pair,"Q: Does the T70M Pro support external microphones?
A: No, the T70M Pro does not have a 3.5mm microphone input and only has built-in microphones.",
,Competitor_Similar,B0FZBFBP2N,FR,Listing_Content,Title,T70M Max Action Camera 4K 60fps Wide Angle 24MP Waterproof 6000mAh 4K 30fps Slow Motion Video Recorder for Sports,
,Competitor_Similar,B0FZBFBP2N,FR,Listing_Content,Bullet,4K 60fps Ultra HD Video: Capture stunning 4K video at 60fps with advanced image processing for true-to-life colors and exceptional detail in every frame.,
,Competitor_Similar,B0FZBFBP2N,FR,Rufus_Log,QA_Pair,"Q: Is the T70M Max waterproof without a case?
A: Yes, the T70M Max is built-in waterproof up to 30m without requiring an additional case.",
,Competitor_Similar,B0FZBFBP2N,FR,Rufus_Log,QA_Pair,"Q: Does the T70M Max support Wi-Fi and Bluetooth connection?
A: Yes, the T70M Max supports both Wi-Fi and Bluetooth for wireless file transfer and remote control via the companion app.",
,Competitor_Similar,B0FZBFBP2N,FR,Rufus_Log,QA_Pair,"Q: Can the T70M Max take photos while recording video?
A: Yes, the T70M Max supports taking photos during video recording without interrupting the recording process.",
,Competitor_Similar,B0FZBFBP2N,FR,Rufus_Log,QA_Pair,"Q: How long does the T70M Max battery last during recording?
A: The T70M Max battery lasts approximately 150 minutes at 1080p 60fps, and up to 240 minutes at 720p due to its 6000mAh large capacity battery.",
,Competitor_Similar,B0FZBFBP2N,FR,Rufus_Log,QA_Pair,"Q: Does the T70M Max support external microphones?
A: No, the T70M Max does not have a 3.5mm microphone input and only has built-in microphones.",
,Competitor_Similar,B0G4MJ4YP8,DE,Listing_Content,Title,"AIKER Action Cam 4K WiFi Updated Version, Ultra HD Image Quality/Electronic Image Stabilization/Dual Screen Display Body Camera Helmet Camera Motorcycle, 360° Action Camera, Multifunctional",
,Competitor_Similar,B0G4MJ4YP8,DE,Listing_Content,Bullet,"【Çift ekran 4K 60 fps HD aksiyon kamerası】【6 eksenli buz görüntü sabitleme/130° geniş açılı objektif】【Çok fonksiyonlu aksesuar, çok sayıda çekim modu】【30 metre su geçirmez/uzun pil ömrü/akıllı ve taşınabilir】【Açık hava meraklıları için mükemmel bir hediye】",
,Competitor_Similar,B0FZHW87T1,DE,Listing_Content,Title,"Action Cam 5K, portable action camera, 64G memory card, 360° helmet camera, motorcycle, bicycle, body camera, outdoor adventures and pets for, underwater camera, 1.3 inch screen",
,Competitor_Similar,B0FZHW87T1,DE,Listing_Content,Bullet,"Thumb-size action camera (35g). 30m underwater camera. 5K mini action camera. Magnetic for hands-free use. Extra long battery life (1000mAh, 3 hours).",
,Competitor_Similar,B0FZBFBP2N,DE,Listing_Content,Title,"Action Cam 5K, Mini Sports Camera, WiFi, 64G Memory Card, Audio and Video Recorded Body Camera, Waterproof Body Camera, Bicycle Riding for, Animals Walking",
,Competitor_Similar,B0FZBFBP2N,DE,Listing_Content,Bullet,"Light and portable (66g, 68.5x32x37.1mm). Waterproof up to 30 meters. Front and back two screens. 5K/4K multi-resolution. Multi-functional use opportunities.",
,Competitor_Similar,B0FZBFBP2N,DE,Listing_Content,Bullet,"Light and portable: Action Cam 5K is compact, only 66 grams, size 68.5 x 32 x 37.1 mm.

Waterproof up to 30 meters (waterproof housing): Mini action camera, with the provided special waterproof housing, up to 30 meters waterproof.

Front and back two screens: This compact body camera has two screens at the front and back.

5K handheld camera: 1.3 inch HD touch screen. Video: 5K/4K/2.7K/1080p/720p. Photo: 24M/20M/12M/8M.

Multi-functional use opportunities: Magnetic hanging strap, hat clamp and bicycle holder included.",
,Competitor_Similar,B0FK5DRP6H,US,Listing_Content,Bullet,"【Magnetic Hands-Free Mounting】Designed with a powerful magnetic clip, locks securely onto your shirt, hat, or chest strap.
【Pocket-Size Mini Action Camera】Tiny size and lightweight build, perfect travel companion.
【Smooth 4K Footage with Stabilization】EIS technology keeps shots stable.
【Adventure-Ready Waterproof Camera】Dive up to 98ft, record underwater adventures.
【Versatile Accessories】Multifunctional accessories included.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,QA_Pair,"Q: Can it record while charging? A: Yes, the NUISK Mini Action Camera 4K can record while charging. It has a USB-C charging port.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,QA_Pair,"Q: How long does battery last? A: The battery lasts long enough for typical outdoor activities like hiking, cycling. Can use power bank to extend recording time.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,QA_Pair,"Q: Does it have night vision? A: No, it does not have dedicated night vision. It uses standard low-light recording with EIS stabilization.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,QA_Pair,"Q: Is it shockproof? A: Yes, designed for adventure use with waterproof capabilities up to 98ft, provides protection against impacts and drops.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,QA_Pair,"Q: Does it come with a remote? A: No, it doesn't include a traditional remote control. Features magnetic clip for hands-free mounting.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,QA_Pair,"Q: How to transfer footage? A: Remove the micro SDXC card, or connect via USB. Videos save as MP4, photos as JPG.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,QA_Pair,Q: Compare to other action cameras? A: NUISK Mini excels in ultra-portability and hands-free mounting. Budget option ($82) vs GoPro ($500+).,
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,QA_Pair,Q: Best for motorcycle recording? A: Ultra-portability and magnetic mounting make it perfect for discreet POV recording.,
,Competitor_Similar,B0FK5DRP6H,US,Review_Insight,Pain_Point,【Magnetic necklace hurts neck】You can't wear that rope around your neck to hang the magnet. Wore a hole in the back of my neck. Helmet mount is fine but the unit is tall. Picture clarity is great. Just don't know what the difference is between this and a GoPro?,
,Competitor_Similar,B0FK5DRP6H,US,Review_Insight,Pain_Point,"【Worse than GoPro】This is a fraction of the price of a GoPro, but it's really a lot less good. A GoPro is waterproof; this camera needs a case—which is included but makes it a lot bulkier. A GoPro has a built-in mount; the fingers on this camera are on a cheesy plastic sleeve thing. A GoPro has much brighter video; this one struggles indoors. A GoPro has much wider field of vision. The stabilization is poor. At about half the price I'd think this was a decent value. At $120 it's too expensive.",
,Competitor_Similar,B0FK5DRP6H,US,Review_Insight,Pain_Point,"【Average image quality/feature】The NUISK action camera is cheap but packs a lot of value, unfortunately not in the image quality. Pros: Super Portable, Durable and Waterproof, Video format from 720p30 to 4k60p, Ample Storage (128GB), Simple Setup, Lots of mounting accessories. Cons: Fixed internal battery won't give a full day of shooting. Image quality: Poor. Stabilization: Practically inexistent. Low light: Terrible, super noisy at regular indoor light. As a filmmaker I would not get this as an entry level camera.",
,Competitor_Similar,B0FK5DRP6H,US,Review_Insight,Pain_Point,"【Difficult touch screen operation】This thing is terrible for someone with big hands to use. The touch screen needs to be easier to operate. Upon first powering on, it came up with language choice. It's hard to scroll and I ended up choosing a different language. After some time freaking out, I finally got it reset. Setting the date and time was again hard to get the numbers to scroll properly. The camera is probably fine for someone with smaller hands and fingers, but it isn't great for me.",
,Competitor_Similar,B0FK5DRP6H,US,Review_Insight,Pain_Point,"【Poor stabilization and night vision】This unit is one of the smallest action camera I tested. Compact form factor makes it easy to carry. For any protection, you need the waterproof case on which reduces sound quality. Without the case, camera does not have any protection. Image quality is where this camera falls short. It has relatively high compression ratio and crushes details. At 4k, image stabilization is very poor. If you want decent stabilization, you're limited to 1080p30. Very poor low light image quality. I'd recommend this for kids pool party use only.",
,Competitor_Similar,B0FK5DRP6H,US,Review_Insight,Feature_Praise,"【Small and lightweight+High cost performance】This mini action camera is really impressive for how small it is. The video quality is clear and sharp, especially for a compact camera. It's lightweight and easy to wear or mount, which makes it great for travel, sports, vlogs and daily moments. Great little action camera at a great price. Why pay four times as much for brand name action cams when they get lost or suffer catastrophic damage just the same? This little camera does everything I need with 4k video and 24mp stills.",
,Competitor_Similar,B0FK5DRP6H,US,Review_Insight,Feature_Praise,"【High cost performance-detailed version】Great little action camera at a great price. I've used the brand name action cams in the past and they get lost or suffer catastrophic damage just the same as anything else so why pay four times as much as this costs? This little camera does everything I need with 4k video, and 24mp stills. Several standard modes for timelapse, slow motion, burst photo. The only thing I wish this had was replaceable batteries so could carry spares but it does work while charging.",
,Competitor_Similar,B0FK5DRP6H,US,Review_Insight,Feature_Praise,"【Magnetic necklace convenient】I used this camera for skiing and it held up great. The battery life is good and the magnetic necklace is amazing for everyday use. The quality is also unmatched for the price and size. Several standard modes for timelapse, slow motion, burst photo. The magnetic mount is neat and can be used in other ways besides the included necklace.",
,Competitor_Similar,B0FK5DRP6H,US,Review_Insight,Feature_Praise,"【Good waterproof performance+Rich accessories】Super Portable: incredibly small and lightweight. Durable and Waterproof: build feels solid. Video format from 720p30 to 4k60p. Ample Storage: With 128GB of storage, don't have to worry about constantly offloading footage. Simple Setup: Getting it up and running was a breeze. Mounting accessories: Lots of mounting accessories included. It works surprisingly well as a webcam when connected to a PC.",
,Competitor_Similar,B0FK5DRP6H,US,Review_Insight,Feature_Praise,"【 suitable for外卖员/骑行】Nice to wear like a body cam, especially for things like DoorDash, Uber Eats, delivery drivers. It does work while charging so I can use a phone bank charger and keep the smaller size of the actual camera. Perfect for motorcycle recording with ultra-portability and magnetic mounting for discreet POV recording.",
,Competitor_Similar,B0FK5DRP6H,US,Listing_Content,Title,"Mini Action Camera 4K | 128G Thumb Sports Camera with EIS Stabilization, Wearable POV Chest Camera, Waterproof for Running, Cycling, Swimming, Hiking, Outdoor Adventures",
,Competitor_Similar,B0FK5DRP6H,US,Listing_Content,Bullet_1,"【Magnetic Hands-Free Mounting】 Designed with a powerful magnetic clip, this wearable POV camera locks securely onto your shirt, hat, or chest strap. No slipping, no hassle — just pure freedom while you stay active.",
,Competitor_Similar,B0FK5DRP6H,US,Listing_Content,Bullet_2,【Pocket-Size Mini Action Camera】 Take this thumb action camera anywhere — its tiny size and lightweight build make it the perfect travel companion. Slip it into your pocket or attach it for hands-free POV recording anytime.,
,Competitor_Similar,B0FK5DRP6H,US,Listing_Content,Bullet_3,"【Smooth 4K Footage with Stabilization】 Say goodbye to shaky videos. With EIS technology, this 4K mini action camera keeps your running, biking, or hiking shots stable, so your footage looks clear and professional every time.",
,Competitor_Similar,B0FK5DRP6H,US,Listing_Content,Bullet_4,"【Adventure-Ready Waterproof Camera】 From beaches to mountains, this waterproof action camera captures it all. Dive up to 98ft and record underwater adventures, or keep filming even in rain, snow, or splashes.",
,Competitor_Similar,B0FK5DRP6H,US,Listing_Content,Bullet_5,"【Versatile Accessories】 Equipped with multifunctional accessories - clip on clothes, mount on hats, you can shoot lectures, daily video blogs, cycling, hiking, fishing, etc.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,Charging_Feature,"Q: Can it record while charging? | A: Yes, supports recording while charging via USB-C, compatible with power banks for extended use.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,Battery_Life,"Q: How long does battery last? | A: Official run-time varies; users report about 90-100 mins, but record-while-charging feature extends this significantly.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,Comparison,"Q: Compare to other action cameras | A: Superior portability and price over GoPro/DJI, but lags in high-end stabilization and low-light sensor quality.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,Motorcycle_Use,"Q: Best for motorcycle recording? | A: Good for discreet POV via magnetic mount, but lacks professional motorcycle dash-cam features like GPS and dual-lens recording.",
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,Night_Vision,Q: Does it have night vision? | A: No dedicated night vision; performance in low light is standard and may appear grainy without external lighting.,
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,Shockproof_Info,Q: Is it shockproof? | A: Designed for adventure with a durable build and waterproof case (98ft) that provides impact protection during bumps and jolts.,
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,Remote_Control,Q: Does it come with a remote? | A: No traditional remote included; designed for simple operation via onboard controls and magnetic quick-mounting.,
,Competitor_Similar,B0FK5DRP6H,US,Rufus_Log,Data_Transfer,Q: How to transfer footage? | A: Supports removing the micro SD card or direct USB-C connection to PC/Smartphones; files are standard MP4/JPG.,
