关键词,关键词翻译,月搜索量,现排名,历史排名,月变化量,月变化率,PPC价格,建议竞价范围,展示量,点击量,SPR,标题密度,点击集中度,转化集中度,型号
camera sport,运动相机,24922.0,17328.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,7775.0,140.0,1.0,1.0,"TOP1: 35.71%
TOP2: 12.14%
TOP3: 7.14%
合计: 55.00%","TOP1: 59.29%
TOP2: 15.00%
TOP3: 10.71%
合计: 85.00%",T70M
mini camera espion sans fil,迷你无线间谍相机,20134.0,1420.0,"上月: 1,476
4月前: 1,284
12月前: 915","上月: +56
4月前: -136
12月前: -505","上月: +3.79%
4月前: -10.59%
12月前: -55.19%",€0.58,€0.43 - €0.73,508659.0,9010.0,6.0,6.0,"TOP1: 19.01%
TOP2: 14.53%
TOP3: 7.68%
合计: 41.22%","TOP1: 13.31%
TOP2: 12.75%
TOP3: 3.97%
合计: 30.03%",T70M
camera 4k,4K相机,14469.0,47494.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,938.0,17.0,1.0,1.0,"TOP1: 35.29%
TOP2: 11.76%
TOP3: 7.06%
合计: 54.12%","TOP1: 58.82%
TOP2: 14.71%
TOP3: 10.29%
合计: 83.82%",T70M
mini camera,迷你相机,12056.0,3882.0,"上月: 4,132
4月前: 4,957
12月前: 3,723","上月: +250
4月前: +1,075
12月前: -159","上月: +6.05%
4月前: +21.69%
12月前: -4.27%",€0.32,€0.24 - €0.40,299550.0,5854.0,3.0,12.0,"TOP1: 17.07%
TOP2: 10.10%
TOP3: 6.10%
合计: 33.27%","TOP1: 8.62%
TOP2: 4.31%
TOP3: 6.03%
合计: 18.96%",T70M
camera sport 4k,4K运动相机,10705.0,31564.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,6326.0,114.0,1.0,1.0,"TOP1: 36.84%
TOP2: 11.40%
TOP3: 7.02%
合计: 55.26%","TOP1: 58.77%
TOP2: 15.79%
TOP3: 10.53%
合计: 85.09%",T70M
mini camera espion,迷你间谍相机,5310.0,15608.0,"上月: 21,909
4月前: 20,923
12月前: 12,347","上月: +6,301
4月前: +5,315
12月前: -3,261","上月: +28.76%
4月前: +25.40%
12月前: -26.41%",€0.47,€0.35 - €0.59,138530.0,2369.0,2.0,8.0,"TOP1: 15.58%
TOP2: 11.62%
TOP3: 5.24%
合计: 32.44%","TOP1: 8.70%
TOP2: 2.17%
TOP3: 0.00%
合计: 10.87%",T70M
mini camera espion sans fil invisible,隐形无线迷你间谍相机,5190.0,17318.0,"上月: 17,936
4月前: 13,516
12月前: 17,435","上月: +618
4月前: -3,802
12月前: +117","上月: +3.45%
4月前: -28.13%
12月前: +0.67%",-,-,121904.0,2331.0,2.0,1.0,"TOP1: 19.11%
TOP2: 16.74%
TOP3: 9.48%
合计: 45.33%","TOP1: 20.00%
TOP2: 5.00%
TOP3: 1.67%
合计: 26.67%",T70M
sport camera,运动相机,4839.0,35470.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,2905.0,52.0,1.0,1.0,"TOP1: 38.46%
TOP2: 11.54%
TOP3: 7.69%
合计: 57.69%","TOP1: 60.38%
TOP2: 15.38%
TOP3: 10.26%
合计: 86.02%",T70M
caméra sport,运动相机,4472.0,23068.0,"上月: 24,158
4月前: 36,170
12月前: 32,095","上月: +1,090
4月前: +13,102
12月前: +9,027","上月: +4.51%
4月前: +36.22%
12月前: +28.13%",€0.49,€0.37 - €0.61,112901.0,1959.0,1.0,37.0,"TOP1: 10.99%
TOP2: 10.82%
TOP3: 9.93%
合计: 31.74%","TOP1: 3.70%
TOP2: 7.41%
TOP3: 0.00%
合计: 11.11%",T70M
mini camera surveillance,微型监控相机,4397.0,21018.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,43888.0,789.0,1.0,1.0,"TOP1: 39.16%
TOP2: 10.39%
TOP3: 7.48%
合计: 57.03%","TOP1: 60.28%
TOP2: 15.11%
TOP3: 10.63%
合计: 86.02%",T70M
camera ski,摄像滑雪,3935.0,26668.0,"上月: 18,844
4月前: -
12月前: 97,009","上月: -7,824
4月前: -
12月前: +70,341","上月: -41.52%
4月前: -
12月前: +72.51%",€0.71,€0.53 - €0.89,98292.0,1943.0,1.0,0.0,"TOP1: 14.29%
TOP2: 9.26%
TOP3: 8.25%
合计: 31.80%","TOP1: 4.35%
TOP2: 13.04%
TOP3: 8.70%
合计: 26.09%",T70M
action cam,行动摄像机,3756.0,28777.0,"上月: 31,046
4月前: 45,574
12月前: 30,823","上月: +2,269
4月前: +16,797
12月前: +2,046","上月: +7.31%
4月前: +36.86%
12月前: +6.64%",€0.64,€0.48 - €0.80,90431.0,1691.0,1.0,15.0,"TOP1: 14.41%
TOP2: 11.18%
TOP3: 10.11%
合计: 35.70%","TOP1: 0.00%
TOP2: 22.22%
TOP3: 0.00%
合计: 22.22%",T70M
camera portable,便携式相机,3741.0,27918.0,"上月: 29,070
4月前: 40,491
12月前: 36,125","上月: +1,152
4月前: +12,573
12月前: +8,207","上月: +3.96%
4月前: +31.05%
12月前: +22.72%",€0.55,€0.41 - €0.69,92170.0,1511.0,1.0,0.0,"TOP1: 15.06%
TOP2: 11.72%
TOP3: 9.21%
合计: 35.99%","TOP1: 7.69%
TOP2: 23.08%
TOP3: 15.38%
合计: 46.15%",T70M
caméra vlog,录像机,3439.0,30272.0,"上月: 29,380
4月前: 56,858
12月前: 38,819","上月: -892
4月前: +26,586
12月前: +8,547","上月: -3.04%
4月前: +46.76%
12月前: +22.02%",€0.44,€0.33 - €0.55,99221.0,1590.0,1.0,6.0,"TOP1: 15.28%
TOP2: 7.87%
TOP3: 7.42%
合计: 30.57%","TOP1: 11.11%
TOP2: 0.00%
TOP3: 0.00%
合计: 11.11%",T70M
mini kodak camera porte cle,,3285.0,33062.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",,-,78426.0,1304.0,1.0,,"TOP1: 88.62%
TOP2: 2.42%
TOP3: 1.21%
合计: 92.25%","TOP1: 81.82%
TOP2: 0.00%
TOP3: 0.00%
合计: 81.82%",T70M
camera surveillance exterieure 4k wifi,4K WiFi室外监控相机,2967.0,40844.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,1152.0,21.0,1.0,1.0,"TOP1: 38.10%
TOP2: 11.90%
TOP3: 7.62%
合计: 57.62%","TOP1: 60.00%
TOP2: 15.24%
TOP3: 10.48%
合计: 85.71%",T70M
mini camera sport,迷你运动相机,2667.0,41624.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,62110.0,1141.0,1.0,1.0,"TOP1: 36.63%
TOP2: 10.98%
TOP3: 7.47%
合计: 55.08%","TOP1: 60.98%
TOP2: 12.62%
TOP3: 10.82%
合计: 84.42%",T70M
dashcam moto,摩托车行车记录仪,2546.0,46052.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,2335.0,42.0,1.0,1.0,"TOP1: 38.10%
TOP2: 11.90%
TOP3: 7.62%
合计: 57.62%","TOP1: 60.71%
TOP2: 14.29%
TOP3: 10.00%
合计: 85.00%",T70M
mini camera wifi,迷你WiFi相机,2510.0,53246.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,40175.0,765.0,1.0,1.0,"TOP1: 36.21%
TOP2: 11.37%
TOP3: 7.39%
合计: 54.97%","TOP1: 60.26%
TOP2: 14.64%
TOP3: 10.85%
合计: 85.75%",T70M
skypro,天际专业,2285.0,48334.0,"上月: 93,800
4月前: 30,920
12月前: -","上月: +45,466
4月前: -17,414
12月前: -","上月: +48.47%
4月前: -56.32%
12月前: -",€0.47,€0.35 - €0.59,34038.0,1106.0,1.0,17.0,"TOP1: 16.49%
TOP2: 13.70%
TOP3: 11.13%
合计: 41.32%","TOP1: 18.18%
TOP2: 13.64%
TOP3: 0.00%
合计: 31.82%",
mini camera 4k,迷你4K相机,2039.0,48720.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,52787.0,991.0,1.0,1.0,"TOP1: 38.14%
TOP2: 12.01%
TOP3: 7.67%
合计: 57.82%","TOP1: 61.65%
TOP2: 14.43%
TOP3: 10.70%
合计: 86.78%",T70M
mini camera sans fil,迷你无线相机,1940.0,46308.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,32894.0,598.0,1.0,1.0,"TOP1: 36.28%
TOP2: 12.20%
TOP3: 7.53%
合计: 56.01%","TOP1: 60.03%
TOP2: 14.38%
TOP3: 10.37%
合计: 84.78%",T70M
camera espion mini,微型间谍相机,1873.0,30112.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,49223.0,903.0,1.0,1.0,"TOP1: 37.21%
TOP2: 12.08%
TOP3: 7.53%
合计: 56.82%","TOP1: 60.57%
TOP2: 15.17%
TOP3: 11.51%
合计: 87.25%",T70M
camera sport etanche,防水运动相机,1662.0,43644.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,3977.0,72.0,1.0,1.0,"TOP1: 37.50%
TOP2: 12.50%
TOP3: 7.50%
合计: 57.50%","TOP1: 59.72%
TOP2: 15.28%
TOP3: 10.42%
合计: 85.42%",T70M
mini drone avec camera,带相机的迷你无人机,1592.0,46658.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,34789.0,639.0,1.0,1.0,"TOP1: 38.97%
TOP2: 10.80%
TOP3: 7.93%
合计: 57.70%","TOP1: 60.56%
TOP2: 14.23%
TOP3: 10.95%
合计: 85.74%",T70M
camera pov,第一人称视角相机,1414.0,69530.0,"上月: 90,109
4月前: 37,691
12月前: -","上月: +20,579
4月前: -31,839
12月前: -","上月: +22.84%
4月前: -84.47%
12月前: -",€0.72,€0.54 - €0.90,15683.0,564.0,1.0,0.0,"TOP1: 18.84%
TOP2: 11.01%
TOP3: 7.25%
合计: 37.10%","TOP1: 15.38%
TOP2: 7.69%
TOP3: 15.38%
合计: 38.45%",
camera mini,微型相机,1357.0,55494.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,28519.0,527.0,1.0,1.0,"TOP1: 35.09%
TOP2: 11.76%
TOP3: 7.21%
合计: 54.06%","TOP1: 59.58%
TOP2: 15.18%
TOP3: 10.44%
合计: 85.20%",T70M
camera surveillance wifi exterieure sans fil 4k,4k无线户外wifi监控摄像头,1286.0,75434.0,"上月: 71,684
4月前: 61,675
12月前: 55,132","上月: -3,750
4月前: -13,759
12月前: -20,302","上月: -5.23%
4月前: -22.31%
12月前: -36.82%",,-,29974.0,601.0,1.0,,"TOP1: 11.54%
TOP2: 5.77%
TOP3: 5.77%
合计: 23.08%","TOP1: 0.00%
TOP2: 50.00%
TOP3: 0.00%
合计: 50.00%",T70M
camera de sport,体育相机,1270.0,42500.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,4381.0,79.0,1.0,1.0,"TOP1: 36.71%
TOP2: 11.39%
TOP3: 7.59%
合计: 55.68%","TOP1: 60.76%
TOP2: 15.19%
TOP3: 10.13%
合计: 86.08%",T70M
mini camera de surveillance,迷你监控相机,1200.0,45136.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,26411.0,483.0,1.0,1.0,"TOP1: 38.10%
TOP2: 9.52%
TOP3: 7.26%
合计: 54.88%","TOP1: 59.63%
TOP2: 15.53%
TOP3: 10.97%
合计: 86.13%",T70M
lunette de ski avec camera,带摄像头的滑雪镜,1185.0,85270.0,"上月: 33,861
4月前: -
12月前: -","上月: -51,409
4月前: -
12月前: -","上月: -151.82%
4月前: -
12月前: -",€0.50,€0.38 - €0.63,32723.0,542.0,1.0,,"TOP1: 57.45%
TOP2: 8.51%
TOP3: 4.26%
合计: 70.22%","TOP1: 0.00%
TOP2: 0.00%
TOP3: 0.00%
合计: 0.00%",T70M
mini camera exterieur sans fil,室外迷你无线相机,1125.0,50096.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,20938.0,376.0,1.0,1.0,"TOP1: 38.29%
TOP2: 10.77%
TOP3: 7.45%
合计: 56.51%","TOP1: 58.78%
TOP2: 15.69%
TOP3: 10.37%
合计: 84.84%",T70M
camera 360 sport,360运动相机,1117.0,46666.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",-,-,3372.0,61.0,1.0,1.0,"TOP1: 36.07%
TOP2: 13.11%
TOP3: 7.38%
合计: 56.56%","TOP1: 60.66%
TOP2: 14.75%
TOP3: 10.66%
合计: 86.07%",T70M
camera embarquée ski,车载滑雪相机,1112.0,86533.0,"上月: 99,460
4月前: -
12月前: -","上月: +12,927
4月前: -
12月前: -","上月: +13.00%
4月前: -
12月前: -",€0.81,€0.69 - €1.01,30204.0,444.0,1.0,0.0,"TOP1: 21.74%
TOP2: 17.39%
TOP3: 6.52%
合计: 45.65%","TOP1: 0.00%
TOP2: 0.00%
TOP3: 0.00%
合计: 0.00%",T70M
caméra action vlog,Vlog运动相机,1070.0,86538.0,"上月: 74,982
4月前: -
12月前: -","上月: -11,556
4月前: -
12月前: -","上月: -15.41%
4月前: -
12月前: -",€0.54,€0.41 - €0.68,30594.0,515.0,1.0,,"TOP1: 23.91%
TOP2: 10.87%
TOP3: 10.87%
合计: 45.65%","TOP1: 0.00%
TOP2: 0.00%
TOP3: 0.00%
合计: 0.00%",T70M
kersens caméra sport,kersens运动相机,905.0,94231.0,"上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -","上月: -
4月前: -
12月前: -",€0.33,€0.25 - €0.41,23320.0,389.0,1.0,2.0,"TOP1: 60.47%
TOP2: 11.63%
TOP3: 9.30%
合计: 81.40%","TOP1: 0.00%
TOP2: 0.00%
TOP3: 0.00%
合计: 0.00%",T70M
